GEO.id,GEO.id2,GEO.display-label,B25115_001E,B25115_001M,B25115_002E,B25115_002M,B25115_003E,B25115_003M,B25115_004E,B25115_004M,B25115_005E,B25115_005M,B25115_006E,B25115_006M,B25115_007E,B25115_007M,B25115_008E,B25115_008M,B25115_009E,B25115_009M,B25115_010E,B25115_010M,B25115_011E,B25115_011M,B25115_012E,B25115_012M,B25115_013E,B25115_013M,B25115_014E,B25115_014M,B25115_015E,B25115_015M,B25115_016E,B25115_016M,B25115_017E,B25115_017M,B25115_018E,B25115_018M,B25115_019E,B25115_019M,B25115_020E,B25115_020M,B25115_021E,B25115_021M,B25115_022E,B25115_022M,B25115_023E,B25115_023M,B25115_024E,B25115_024M,B25115_025E,B25115_025M,B25115_026E,B25115_026M,B25115_027E,B25115_027M
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6673,210,6049,264,4883,262,4376,260,2056,217,2320,171,507,166,89,64,48,46,41,48,418,161,105,76,313,133,1166,237,624,186,256,137,210,132,146,121,64,44,46,43,19,30,19,30,0,19,27,29,12,19,15,24,368,149
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7116,200,5610,241,4618,201,4266,217,2059,158,2207,201,352,102,114,64,73,53,41,37,238,84,92,64,146,69,992,203,1506,235,819,195,485,146,270,105,215,113,334,153,75,73,53,66,22,34,259,136,150,108,109,87,687,185
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",4971,166,4641,227,3641,197,3346,192,1274,139,2072,187,295,108,91,56,34,32,57,58,204,76,77,51,127,61,1000,173,330,115,242,103,104,45,51,31,53,36,138,85,48,46,36,42,12,22,90,70,26,29,64,61,88,52
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",9885,312,8742,321,7171,261,6323,260,2683,150,3640,279,848,195,356,130,246,113,110,57,492,137,181,92,311,100,1571,222,1143,229,539,142,382,125,92,52,290,109,157,90,50,52,0,23,50,52,107,73,50,50,57,55,604,178
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",34187,645,19849,732,14122,551,11680,462,4542,331,7138,423,2442,330,767,207,300,144,467,140,1675,270,389,120,1286,227,5727,467,14338,663,7820,499,4401,455,2163,351,2238,338,3419,394,914,241,355,136,559,201,2505,313,1587,244,918,220,6518,556
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3452,139,2878,142,2380,137,2111,143,964,91,1147,141,269,90,52,46,8,14,44,44,217,78,74,43,143,65,498,104,574,132,261,90,206,71,84,56,122,55,55,53,0,17,0,17,0,17,55,53,22,35,33,42,313,90
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9001,260,7721,280,6403,245,5921,236,2983,171,2938,227,482,136,123,64,67,45,56,41,359,122,236,103,123,57,1318,239,1280,225,603,152,424,139,159,85,265,123,179,85,14,21,14,21,0,23,165,82,101,63,64,50,677,182
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",16185,368,13039,409,9636,430,8167,406,2572,251,5595,420,1469,233,405,125,141,73,264,112,1064,234,307,116,757,199,3403,364,3146,305,1564,256,930,195,423,155,507,156,634,177,178,105,110,90,68,55,456,162,303,124,153,83,1582,253
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1470,96,1264,120,922,90,793,108,259,55,534,96,129,54,47,35,17,19,30,30,82,46,15,19,67,41,342,98,206,84,131,74,86,60,43,52,43,37,45,51,0,12,0,12,0,12,45,51,16,24,29,46,75,51
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",49141,877,25351,826,18353,764,15759,642,5935,374,9824,497,2594,382,544,146,130,67,414,129,2050,336,788,275,1262,236,6998,566,23790,745,12349,685,7469,580,3710,440,3759,562,4880,572,1308,341,751,253,557,216,3572,461,2337,380,1235,295,11441,660
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",19857,463,15719,524,11521,409,9124,345,2946,281,6178,342,2397,315,631,158,194,92,437,117,1766,268,614,174,1152,210,4198,421,4138,429,2138,367,923,233,464,147,459,166,1215,244,89,62,77,60,12,14,1126,240,643,166,483,185,2000,269
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12190,263,10534,319,8880,276,7711,301,3516,220,4195,254,1169,198,470,152,237,117,233,95,699,150,221,88,478,137,1654,222,1656,250,846,202,629,169,455,146,174,72,217,112,87,90,77,86,10,16,130,66,66,54,64,53,810,195
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3447,165,3321,171,2868,135,2598,177,1347,142,1251,170,270,98,48,37,24,27,24,26,222,94,113,66,109,73,453,135,126,91,58,53,56,52,47,50,9,13,2,7,0,19,0,19,0,19,2,7,0,19,2,7,68,60
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",9916,269,8448,330,6813,278,6246,306,3120,180,3126,283,567,142,153,78,94,60,59,41,414,132,171,64,243,104,1635,197,1468,237,756,159,535,148,305,98,230,106,221,79,58,46,48,42,10,16,163,72,81,42,82,67,712,169
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6090,170,5255,212,4453,187,4096,185,2043,122,2053,161,357,94,136,71,97,60,39,34,221,80,104,49,117,62,802,163,835,153,536,124,383,102,255,96,128,60,153,102,78,63,61,56,17,28,75,73,58,71,17,15,299,109
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",6977,202,5810,243,4525,214,4234,227,1850,143,2384,196,291,133,60,44,22,24,38,36,231,119,162,112,69,46,1285,241,1167,191,594,178,397,134,216,97,181,87,197,110,51,55,34,48,17,26,146,88,146,88,0,19,573,167
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",8181,286,6906,323,5369,287,4435,299,1491,206,2944,330,934,210,189,110,47,48,142,98,745,189,361,134,384,135,1537,252,1275,272,568,228,242,130,116,105,126,77,326,179,17,27,17,27,0,23,309,176,137,109,172,134,707,183
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8727,339,6241,314,4605,261,3408,313,822,217,2586,267,1197,310,297,132,182,109,115,76,900,268,158,104,742,237,1636,258,2486,289,953,231,438,136,125,84,313,118,515,191,111,80,0,23,111,80,404,171,176,99,228,150,1533,282
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",24638,583,15679,582,11085,426,8798,416,3337,290,5461,358,2287,305,799,192,337,134,462,137,1488,244,522,157,966,196,4594,437,8959,536,3908,455,1622,256,646,177,976,196,2286,408,486,194,248,151,238,117,1800,364,1114,279,686,202,5051,452
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3462,122,3231,142,2597,146,2339,162,979,93,1360,158,258,88,83,47,50,37,33,29,175,81,34,26,141,76,634,139,231,80,122,63,37,31,0,17,37,31,85,58,49,44,19,23,30,42,36,32,13,20,23,25,109,45
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4046,156,3220,217,2538,236,2099,263,815,146,1284,218,439,181,131,97,9,19,122,95,308,146,175,97,133,105,682,177,826,160,313,139,175,107,51,77,124,77,138,103,38,44,24,39,14,22,100,90,42,38,58,84,513,142
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2027,134,1637,149,1157,162,874,199,445,126,429,133,283,115,185,123,77,64,108,106,98,76,89,71,9,21,480,154,390,128,131,89,84,71,32,36,52,54,47,73,0,17,0,17,0,17,47,73,47,73,0,17,259,125
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",19046,471,11144,483,7726,484,5242,416,1878,309,3364,304,2484,341,740,206,340,170,400,125,1744,280,575,202,1169,208,3418,371,7902,449,4489,415,1771,333,1021,263,750,229,2718,370,517,199,186,127,331,154,2201,315,1275,278,926,245,3413,432
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4855,246,3312,290,2261,214,1827,242,681,200,1146,225,434,154,42,39,14,22,28,32,392,154,0,19,392,154,1051,210,1543,225,755,220,425,195,148,128,277,140,330,133,77,81,56,73,21,35,253,126,206,129,47,54,788,194
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",16744,420,12636,411,8737,336,6962,337,2281,206,4681,269,1775,289,706,164,209,78,497,144,1069,207,420,138,649,143,3899,296,4108,321,1974,275,904,235,410,138,494,171,1070,224,328,145,220,134,108,73,742,202,503,163,239,90,2134,274
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",10463,228,7639,295,5740,214,5066,232,1990,141,3076,211,674,130,128,61,14,16,114,58,546,133,225,91,321,104,1899,243,2824,235,921,196,687,169,361,123,326,137,234,99,63,42,30,29,33,32,171,85,111,77,60,37,1903,179
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",13411,305,10705,288,8326,226,7520,277,3166,230,4354,260,806,180,273,110,115,60,158,100,533,147,165,72,368,123,2379,263,2706,250,1060,169,562,139,269,104,293,90,498,122,55,44,30,34,25,28,443,114,317,117,126,52,1646,210
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4147,155,3744,180,3132,168,2930,168,1103,111,1827,175,202,77,92,52,34,32,58,41,110,58,74,50,36,36,612,157,403,136,202,117,79,69,33,45,46,48,123,90,42,39,42,39,0,19,81,87,26,28,55,74,201,82
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",46690,891,11196,563,7917,488,4613,368,1509,262,3104,351,3304,343,780,186,293,114,487,144,2524,314,757,180,1767,272,3279,357,35494,828,18170,597,5020,332,2292,268,2728,303,13150,612,2460,327,1117,255,1343,258,10690,523,6248,454,4442,422,17324,864
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",756,66,703,59,503,50,444,54,138,30,306,44,59,26,21,16,6,8,15,14,38,22,9,10,29,20,200,49,53,32,12,12,12,12,0,12,12,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,29
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",23645,511,13012,507,9063,426,7108,406,2620,294,4488,315,1955,288,543,135,172,77,371,117,1412,253,416,144,996,205,3949,405,10633,459,5659,425,3181,403,1591,260,1590,275,2478,331,566,194,275,144,291,140,1912,287,1361,257,551,198,4974,454
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",2331,117,2036,124,1749,122,1571,124,559,164,1012,146,178,87,88,59,55,49,33,37,90,74,39,43,51,57,287,120,295,113,108,85,105,82,81,77,24,28,3,9,0,17,0,17,0,17,3,9,0,17,3,9,187,88
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",28232,626,11308,532,7711,451,5442,363,1428,226,4014,393,2269,300,611,163,136,72,475,154,1658,244,510,161,1148,201,3597,305,16924,677,9118,558,3388,387,1594,289,1794,281,5730,499,1214,264,618,223,596,163,4516,439,3074,379,1442,285,7806,541
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",12366,317,9678,368,6571,280,5277,236,1757,207,3520,217,1294,209,349,122,82,58,267,106,945,162,299,87,646,151,3107,330,2688,254,1169,220,698,165,383,104,315,110,471,172,44,37,29,32,15,16,427,161,275,143,152,69,1519,213
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",7637,329,5421,336,3637,265,3022,280,949,181,2073,241,615,162,141,73,68,64,73,53,474,161,186,89,288,132,1784,272,2216,327,801,252,360,176,175,107,185,136,441,213,136,150,91,135,45,72,305,145,211,117,94,97,1415,277
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",8621,313,5474,308,3845,267,3091,273,970,142,2121,231,754,222,340,178,28,31,312,183,414,132,141,89,273,105,1629,279,3147,297,1534,236,1234,216,699,187,535,167,300,159,54,46,35,37,19,28,246,150,115,108,131,119,1613,319
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",9583,259,7587,293,5943,209,5445,247,2238,154,3207,220,498,129,197,87,111,66,86,61,301,99,105,55,196,86,1644,191,1996,207,864,180,655,160,381,136,274,105,209,80,35,30,26,28,9,15,174,71,138,65,36,28,1132,204
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",17162,297,14294,347,10796,312,9426,352,3608,262,5818,332,1370,244,384,113,69,46,315,108,986,225,454,185,532,149,3498,333,2868,311,1244,250,569,150,244,85,325,130,675,207,119,74,80,63,39,36,556,183,297,120,259,145,1624,288
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",9783,230,8200,328,6435,260,5609,296,2302,202,3307,289,826,160,256,112,130,100,126,57,570,130,285,105,285,106,1765,223,1583,231,737,206,344,129,223,115,121,57,393,195,187,133,76,88,111,93,206,131,131,104,75,61,846,226
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",5158,152,4510,178,3670,176,2977,207,1079,130,1898,173,693,177,215,111,124,90,91,79,478,146,259,101,219,120,840,167,648,152,306,92,181,70,64,49,117,56,125,61,20,25,11,19,9,15,105,55,44,31,61,45,342,126
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",24726,403,17563,398,12872,320,11070,353,4938,262,6132,374,1802,237,543,157,173,62,370,145,1259,180,575,133,684,146,4691,356,7163,389,2672,338,1400,237,642,153,758,178,1272,258,303,121,231,109,72,57,969,202,678,175,291,99,4491,375
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",10917,285,8655,296,6109,234,5244,297,2086,208,3158,253,865,211,254,99,84,69,170,80,611,173,240,104,371,138,2546,269,2262,267,790,188,344,133,173,81,171,92,446,157,65,45,13,21,52,40,381,148,274,144,107,75,1472,228
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",10770,295,8908,345,6367,276,5123,328,1986,227,3137,283,1244,224,259,92,59,29,200,90,985,215,341,112,644,196,2541,290,1862,232,868,161,471,126,206,93,265,113,397,145,77,49,33,36,44,39,320,128,142,77,178,90,994,180
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",5307,223,4191,276,2842,206,2305,180,853,109,1452,158,537,137,167,81,35,45,132,68,370,126,22,23,348,126,1349,231,1116,237,494,186,164,93,96,84,68,41,330,160,91,81,14,22,77,79,239,145,210,142,29,30,622,173
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",1336,75,1238,74,1052,74,927,81,362,65,565,92,125,49,55,31,30,26,25,25,70,35,0,12,70,35,186,67,98,71,76,63,44,52,6,12,38,51,32,38,0,12,0,12,0,12,32,38,9,14,23,35,22,26
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",1204,110,1008,125,772,104,671,100,206,48,465,90,101,48,34,24,20,19,14,15,67,42,19,20,48,35,236,94,196,61,115,47,67,37,47,30,20,21,48,35,26,34,26,34,0,12,22,27,22,27,0,12,81,43
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",699,43,604,41,438,38,392,40,81,19,311,38,46,18,24,14,0,12,24,14,22,12,9,8,13,11,166,29,95,27,52,19,43,17,14,10,29,14,9,6,9,6,9,6,0,12,0,12,0,12,0,12,43,19
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",507,56,441,59,304,49,254,49,57,25,197,42,50,25,25,19,9,9,16,16,25,14,10,8,15,11,137,35,66,25,31,18,28,17,15,11,13,16,3,4,0,12,0,12,0,12,3,4,0,12,3,4,35,21
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",590,49,530,56,342,46,305,46,103,28,202,35,37,15,25,14,14,11,11,10,12,9,0,12,12,9,188,41,60,28,49,25,25,21,20,19,5,6,24,23,16,19,0,12,16,19,8,9,8,9,0,12,11,12
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",598,52,466,47,327,44,286,44,69,31,217,35,41,18,24,15,10,10,14,10,17,11,5,5,12,10,139,37,132,35,67,24,51,22,16,12,35,20,16,12,0,12,0,12,0,12,16,12,16,12,0,12,65,27
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",1098,76,1039,73,761,54,704,63,206,53,498,67,57,35,27,26,11,18,16,19,30,25,0,12,30,25,278,77,59,35,38,25,23,28,5,9,18,25,15,21,0,12,0,12,0,12,15,21,15,21,0,12,21,22
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",1943,89,1860,88,1574,86,1278,127,460,86,818,115,296,110,149,73,75,53,74,49,147,70,55,43,92,53,286,80,83,55,46,40,38,37,0,17,38,37,8,13,0,17,0,17,0,17,8,13,8,13,0,17,37,32
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",1176,167,956,160,559,108,446,93,77,31,369,96,113,64,20,22,7,12,13,19,93,60,28,30,65,53,397,127,220,74,103,45,71,34,57,32,14,12,32,29,13,15,7,12,6,10,19,24,0,12,19,24,117,60
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",3415,208,2644,171,1968,118,1642,156,437,86,1205,146,326,116,158,87,77,57,81,57,168,62,30,28,138,51,676,132,771,125,251,82,146,51,38,26,108,45,105,57,63,50,51,48,12,14,42,31,25,27,17,16,520,93
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",854,84,727,77,558,69,464,60,169,45,295,42,94,37,47,34,5,8,42,33,47,22,20,16,27,16,169,50,127,52,46,26,31,20,18,13,13,14,15,14,4,7,4,7,0,12,11,12,11,12,0,12,81,41
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",2580,155,2327,149,1700,127,1532,121,654,108,878,125,168,78,73,56,32,34,41,46,95,59,52,44,43,40,627,154,253,131,84,82,74,79,59,75,15,25,10,18,0,17,0,17,0,17,10,18,10,18,0,17,169,100
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",10512,309,8182,408,6207,303,5466,302,1993,191,3473,274,741,167,249,104,65,52,184,98,492,141,120,84,372,114,1975,325,2330,303,1039,208,499,137,212,82,287,114,540,181,127,100,97,95,30,32,413,135,304,120,109,64,1291,231
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",700,55,522,47,380,45,306,45,83,29,223,36,74,27,23,18,16,17,7,7,51,22,21,17,30,16,142,31,178,47,66,25,49,20,15,12,34,17,17,17,0,12,0,12,0,12,17,17,13,16,4,5,112,40
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",1402,110,889,111,552,81,443,92,98,52,345,77,109,68,67,63,19,30,48,53,42,39,0,12,42,39,337,95,513,116,147,68,119,65,52,49,67,60,28,24,10,14,10,14,0,12,18,21,18,21,0,12,366,100
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",4858,198,3864,227,2773,172,2282,181,625,121,1657,142,491,138,192,99,92,67,100,70,299,98,115,54,184,76,1091,203,994,175,322,112,132,50,36,29,96,44,190,104,85,54,22,28,63,58,105,70,86,67,19,19,672,157
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",892,58,747,60,535,56,498,59,148,37,350,57,37,21,3,6,0,12,3,6,34,20,12,13,22,17,212,49,145,46,55,29,50,27,28,18,22,20,5,8,0,12,0,12,0,12,5,8,5,8,0,12,90,40
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",1700,135,1122,153,743,126,641,118,147,58,494,116,102,60,57,48,47,43,10,17,45,35,33,30,12,18,379,131,578,158,186,92,114,71,54,49,60,44,72,64,0,12,0,12,0,12,72,64,72,64,0,12,392,152
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",1278,137,945,145,625,120,625,120,91,57,534,124,0,12,0,12,0,12,0,12,0,12,0,12,0,12,320,129,333,115,199,94,110,61,35,32,75,52,89,68,43,44,43,44,0,12,46,56,34,54,12,19,134,95
