GEO.id,GEO.id2,GEO.display-label,B25115_001E,B25115_001M,B25115_002E,B25115_002M,B25115_003E,B25115_003M,B25115_004E,B25115_004M,B25115_005E,B25115_005M,B25115_006E,B25115_006M,B25115_007E,B25115_007M,B25115_008E,B25115_008M,B25115_009E,B25115_009M,B25115_010E,B25115_010M,B25115_011E,B25115_011M,B25115_012E,B25115_012M,B25115_013E,B25115_013M,B25115_014E,B25115_014M,B25115_015E,B25115_015M,B25115_016E,B25115_016M,B25115_017E,B25115_017M,B25115_018E,B25115_018M,B25115_019E,B25115_019M,B25115_020E,B25115_020M,B25115_021E,B25115_021M,B25115_022E,B25115_022M,B25115_023E,B25115_023M,B25115_024E,B25115_024M,B25115_025E,B25115_025M,B25115_026E,B25115_026M,B25115_027E,B25115_027M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Owner occupied:,Margin of Error!!Total:!!Owner occupied:,Estimate!!Total:!!Owner occupied:!!Family households:,Margin of Error!!Total:!!Owner occupied:!!Family households:,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:,Margin of Error!!Total:!!Owner occupied:!!Family households:!!Married-couple family:,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!With own children of the householder under 18 years,Margin of Error!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!With own children of the householder under 18 years,Estimate!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!No own children of the householder under 18 years,Margin of Error!!Total:!!Owner occupied:!!Family households:!!Married-couple family:!!No own children of the householder under 18 years,Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:,Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:,"Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years","Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years","Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years","Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years","Estimate!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Owner occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years",Estimate!!Total:!!Owner occupied:!!Nonfamily households,Margin of Error!!Total:!!Owner occupied:!!Nonfamily households,Estimate!!Total:!!Renter occupied:,Margin of Error!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!Family households:,Margin of Error!!Total:!!Renter occupied:!!Family households:,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:,Margin of Error!!Total:!!Renter occupied:!!Family households:!!Married-couple family:,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!With own children of the householder under 18 years,Margin of Error!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!With own children of the householder under 18 years,Estimate!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!No own children of the householder under 18 years,Margin of Error!!Total:!!Renter occupied:!!Family households:!!Married-couple family:!!No own children of the householder under 18 years,Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:,Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:,"Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years","Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years","Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years","Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years","Estimate!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Renter occupied:!!Family households:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years",Estimate!!Total:!!Renter occupied:!!Nonfamily households,Margin of Error!!Total:!!Renter occupied:!!Nonfamily households
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7164,240,5642,270,4353,249,3696,288,1609,201,2087,210,657,162,303,149,202,138,101,64,354,126,157,86,197,85,1289,209,1522,209,668,193,296,128,105,59,191,106,372,156,155,88,97,81,58,57,217,128,127,98,90,89,854,191
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",50638,795,21188,811,14771,661,9638,592,3807,388,5831,467,5133,476,1427,344,404,186,1023,270,3706,380,1293,271,2413,303,6417,528,29450,797,17295,598,6831,528,3742,418,3089,370,10464,577,2294,362,1215,230,1079,264,8170,520,4880,440,3290,339,12155,669
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6200,239,5190,305,4173,213,3659,235,1512,147,2147,268,514,115,100,54,24,28,76,47,414,111,105,56,309,92,1017,224,1010,194,523,170,287,153,164,112,123,106,236,92,38,35,12,20,26,30,198,88,122,76,76,48,487,137
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",30000,722,17405,762,12167,508,9766,506,3568,357,6198,365,2401,365,738,188,290,111,448,176,1663,295,504,165,1159,261,5238,611,12595,655,7389,559,4166,461,2293,323,1873,366,3223,458,853,257,393,166,460,204,2370,401,1643,322,727,224,5206,506
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6895,150,5973,183,5168,177,4754,174,2864,172,1890,174,414,119,103,47,82,42,21,23,311,102,145,65,166,74,805,140,922,145,544,108,373,84,261,76,112,53,171,72,41,33,29,27,12,18,130,71,81,45,49,54,378,111
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2799,115,2596,137,2104,125,1926,154,737,94,1189,166,178,80,65,46,7,11,58,44,113,71,32,31,81,61,492,137,203,81,112,71,64,57,34,42,30,30,48,41,0,17,0,17,0,17,48,41,48,41,0,17,91,58
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",20641,401,17018,443,13553,339,11869,354,5509,256,6360,320,1684,207,483,113,184,67,299,87,1201,179,462,122,739,144,3465,298,3623,264,1959,231,1386,206,717,140,669,156,573,138,200,74,120,55,80,48,373,112,283,102,90,54,1664,230
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",22271,365,14678,448,11653,421,10375,398,4594,274,5781,326,1278,217,390,113,132,66,258,100,888,191,325,105,563,142,3025,293,7593,396,4560,354,3151,334,1909,273,1242,212,1409,247,331,112,270,112,61,37,1078,228,621,160,457,143,3033,334
