GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  Owner occupied: ,Margins of Error;  Owner occupied: ,Estimate;  Owner occupied: Family households: ,Margins of Error;  Owner occupied: Family households: ,Estimate;  Owner occupied: Family households: Married-couple family: ,Margins of Error;  Owner occupied: Family households: Married-couple family: ,Estimate;  Owner occupied: Family households: Married-couple family: With own children under 18 years ,Margins of Error;  Owner occupied: Family households: Married-couple family: With own children under 18 years ,Estimate;  Owner occupied: Family households: Married-couple family: No own children under 18 years ,Margins of Error;  Owner occupied: Family households: Married-couple family: No own children under 18 years ,Estimate;  Owner occupied: Family households: Other family: ,Margins of Error;  Owner occupied: Family households: Other family: ,"Estimate;  Owner occupied: Family households: Other family: Male householder, no wife present: ","Margins of Error;  Owner occupied: Family households: Other family: Male householder, no wife present: ","Estimate;  Owner occupied: Family households: Other family: Male householder, no wife present: With own children under 18 years ","Margins of Error;  Owner occupied: Family households: Other family: Male householder, no wife present: With own children under 18 years ","Estimate;  Owner occupied: Family households: Other family: Male householder, no wife present: No own children under 18 years ","Margins of Error;  Owner occupied: Family households: Other family: Male householder, no wife present: No own children under 18 years ","Estimate;  Owner occupied: Family households: Other family: Female householder, no husband present: ","Margins of Error;  Owner occupied: Family households: Other family: Female householder, no husband present: ","Estimate;  Owner occupied: Family households: Other family: Female householder, no husband present: With own children under 18 years ","Margins of Error;  Owner occupied: Family households: Other family: Female householder, no husband present: With own children under 18 years ","Estimate;  Owner occupied: Family households: Other family: Female householder, no husband present: No own children under 18 years ","Margins of Error;  Owner occupied: Family households: Other family: Female householder, no husband present: No own children under 18 years ",Estimate;  Owner occupied: Nonfamily households ,Margins of Error;  Owner occupied: Nonfamily households ,Estimate;  Renter occupied: ,Margins of Error;  Renter occupied: ,Estimate;  Renter occupied: Family households: ,Margins of Error;  Renter occupied: Family households: ,Estimate;  Renter occupied: Family households: Married-couple family: ,Margins of Error;  Renter occupied: Family households: Married-couple family: ,Estimate;  Renter occupied: Family households: Married-couple family: With own children under 18 years ,Margins of Error;  Renter occupied: Family households: Married-couple family: With own children under 18 years ,Estimate;  Renter occupied: Family households: Married-couple family: No own children under 18 years ,Margins of Error;  Renter occupied: Family households: Married-couple family: No own children under 18 years ,Estimate;  Renter occupied: Family households: Other family: ,Margins of Error;  Renter occupied: Family households: Other family: ,"Estimate;  Renter occupied: Family households: Other family: Male householder, no wife present: ","Margins of Error;  Renter occupied: Family households: Other family: Male householder, no wife present: ","Estimate;  Renter occupied: Family households: Other family: Male householder, no wife present: With own children under 18 years ","Margins of Error;  Renter occupied: Family households: Other family: Male householder, no wife present: With own children under 18 years ","Estimate;  Renter occupied: Family households: Other family: Male householder, no wife present: No own children under 18 years ","Margins of Error;  Renter occupied: Family households: Other family: Male householder, no wife present: No own children under 18 years ","Estimate;  Renter occupied: Family households: Other family: Female householder, no husband present: ","Margins of Error;  Renter occupied: Family households: Other family: Female householder, no husband present: ","Estimate;  Renter occupied: Family households: Other family: Female householder, no husband present: With own children under 18 years ","Margins of Error;  Renter occupied: Family households: Other family: Female householder, no husband present: With own children under 18 years ","Estimate;  Renter occupied: Family households: Other family: Female householder, no husband present: No own children under 18 years ","Margins of Error;  Renter occupied: Family households: Other family: Female householder, no husband present: No own children under 18 years ",Estimate;  Renter occupied: Nonfamily households ,Margins of Error;  Renter occupied: Nonfamily households 
09,04000US09,Connecticut,1356206,2983,913043,4507,675214,4212,561428,4520,223191,3469,338237,2753,113786,2420,34624,1194,13112,738,21512,908,79162,2025,32911,1245,46251,1459,237829,2423,443163,3378,224343,2765,102900,2007,52461,1654,50439,1577,121443,2291,24677,1314,12860,995,11817,849,96766,2059,66274,1802,30492,1067,218820,2707
0900104720,06000US0900104720,"Bethel town, Fairfield County, Connecticut",7071,210,5483,286,4383,230,3674,208,1540,148,2134,194,709,169,289,111,67,45,222,90,420,117,189,87,231,88,1100,200,1588,222,772,183,443,140,231,101,212,103,329,125,14,18,0,19,14,18,315,125,247,95,68,70,816,195
0900108070,06000US0900108070,"Bridgeport town, Fairfield County, Connecticut",50034,904,20574,702,14169,589,9445,530,3839,382,5606,369,4724,401,1115,220,269,116,846,177,3609,341,1154,237,2455,318,6405,518,29460,753,17908,535,6504,492,3726,376,2778,389,11404,570,2087,303,918,221,1169,231,9317,500,6091,442,3226,346,11552,595
0900108980,06000US0900108980,"Brookfield town, Fairfield County, Connecticut",6010,225,5135,321,4243,252,3765,257,1516,145,2249,235,478,140,123,69,48,45,75,52,355,116,165,92,190,75,892,214,875,194,484,151,360,135,120,93,240,108,124,92,67,81,67,81,0,19,57,46,41,38,16,24,391,136
0900118500,06000US0900118500,"Danbury town, Fairfield County, Connecticut",29046,541,17504,680,12595,521,10265,502,3862,339,6403,417,2330,342,841,219,275,124,566,170,1489,260,627,180,862,186,4909,476,11542,548,6415,529,3445,399,1919,360,1526,268,2970,383,977,261,518,213,459,170,1993,362,1417,273,576,197,5127,550
0900118850,06000US0900118850,"Darien town, Fairfield County, Connecticut",6556,177,5625,215,4893,176,4598,175,2741,169,1857,170,295,89,81,50,41,34,40,33,214,75,112,56,102,51,732,135,931,170,591,141,510,130,320,103,190,88,81,63,17,27,17,27,0,22,64,54,32,28,32,47,340,107
0900123890,06000US0900123890,"Easton town, Fairfield County, Connecticut",2598,115,2458,128,1981,124,1774,128,856,83,918,120,207,78,108,53,65,38,43,42,99,56,56,42,43,35,477,109,140,65,103,58,95,58,24,27,71,52,8,12,8,12,8,12,0,17,0,17,0,17,0,17,37,30
0900126620,06000US0900126620,"Fairfield town, Fairfield County, Connecticut",20194,360,16687,439,12947,387,11434,377,5953,302,5481,319,1513,205,495,129,220,94,275,88,1018,154,269,72,749,134,3740,280,3507,299,1779,235,1108,178,634,143,474,129,671,157,152,73,87,53,65,45,519,135,387,137,132,65,1728,201
0900133620,06000US0900133620,"Greenwich town, Fairfield County, Connecticut",21994,390,15196,398,11859,390,10540,360,5202,276,5338,329,1319,190,321,88,153,60,168,74,998,181,394,114,604,143,3337,292,6798,386,4100,391,3018,339,1788,270,1230,223,1082,197,281,105,140,78,141,74,801,186,537,141,264,97,2698,335
