GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
0900148620,06000US0900148620,"Monroe town, Fairfield County, Connecticut",6602,204,6176,240,5097,238,4416,262,1864,223,2552,239,681,177,128,80,83,63,45,46,553,163,315,136,238,100,1079,192,426,148,248,108,105,70,50,52,55,47,143,90,38,44,38,44,0,19,105,72,46,53,59,50,178,105
0900150580,06000US0900150580,"New Canaan town, Fairfield County, Connecticut",6833,215,5443,248,4536,191,4139,204,2277,144,1862,163,397,137,35,32,13,23,22,22,362,132,171,104,191,93,907,169,1390,201,824,201,569,167,371,132,198,106,255,126,58,78,58,78,0,22,197,106,171,100,26,30,566,175
0900150860,06000US0900150860,"New Fairfield town, Fairfield County, Connecticut",4815,183,4628,200,3662,172,3207,185,1390,140,1817,168,455,118,127,80,64,68,63,46,328,92,180,68,148,59,966,192,187,87,144,78,99,66,61,45,38,46,45,43,0,19,0,19,0,19,45,43,28,32,17,28,43,31
0900152980,06000US0900152980,"Newtown town, Fairfield County, Connecticut",9624,279,8546,345,6792,253,6203,272,3082,197,3121,272,589,125,137,66,80,57,57,37,452,114,162,73,290,88,1754,243,1078,213,544,163,238,113,114,68,124,92,306,122,75,76,75,76,0,22,231,94,152,72,79,60,534,141
0900156060,06000US0900156060,"Norwalk town, Fairfield County, Connecticut",35450,663,22010,708,15251,537,12410,541,4503,340,7907,456,2841,313,817,178,191,91,626,157,2024,295,687,179,1337,247,6759,519,13440,539,6222,532,3521,439,1689,347,1832,312,2701,392,553,193,194,116,359,157,2148,329,1405,262,743,183,7218,567
0900163480,06000US0900163480,"Redding town, Fairfield County, Connecticut",3548,144,2849,143,2245,115,1989,136,844,100,1145,137,256,96,96,70,30,32,66,63,160,78,112,69,48,35,604,139,699,129,258,86,148,63,56,40,92,47,110,63,9,14,0,17,9,14,101,62,83,59,18,20,441,110
0900163970,06000US0900163970,"Ridgefield town, Fairfield County, Connecticut",8801,215,7321,229,6341,170,5774,193,3042,195,2732,213,567,145,179,109,139,102,40,28,388,86,206,69,182,64,980,190,1480,192,708,162,398,114,203,62,195,98,310,128,43,34,25,25,18,22,267,128,254,126,13,18,772,154
0900168170,06000US0900168170,"Shelton town, Fairfield County, Connecticut",15186,304,12133,408,9503,308,8125,290,2986,264,5139,342,1378,219,371,101,119,65,252,96,1007,205,323,101,684,196,2630,331,3053,312,1293,264,674,162,256,92,418,128,619,183,103,57,48,40,55,38,516,172,383,155,133,78,1760,233
0900168310,06000US0900168310,"Sherman town, Fairfield County, Connecticut",1381,94,1284,103,949,93,872,106,347,65,525,93,77,50,19,22,12,18,7,13,58,47,13,20,45,42,335,99,97,57,56,44,41,40,24,35,17,19,15,16,6,10,0,12,6,10,9,13,9,13,0,12,41,42
0900173070,06000US0900173070,"Stamford town, Fairfield County, Connecticut",46418,906,25435,802,18339,619,15514,553,6805,331,8709,509,2825,369,801,210,164,82,637,179,2024,276,771,214,1253,243,7096,523,20983,792,11420,593,6493,528,3765,466,2728,368,4927,509,1239,324,620,239,619,202,3688,449,2379,365,1309,236,9563,704
0900174190,06000US0900174190,"Stratford town, Fairfield County, Connecticut",20330,350,16384,456,11454,376,9015,359,3054,239,5961,335,2439,291,753,195,305,116,448,147,1686,230,687,176,999,164,4930,368,3946,323,2070,295,1016,219,447,147,569,160,1054,222,174,89,103,71,71,50,880,201,611,186,269,106,1876,248
0900177200,06000US0900177200,"Trumbull town, Fairfield County, Connecticut",12205,282,10901,283,8837,261,7698,269,3877,196,3821,268,1139,171,326,95,92,53,234,90,813,148,375,118,438,101,2064,251,1304,164,687,135,397,120,218,98,179,73,290,118,29,33,21,31,8,13,261,114,175,106,86,83,617,144
0900183430,06000US0900183430,"Weston town, Fairfield County, Connecticut",3285,115,3140,115,2734,98,2535,113,1506,97,1029,118,199,71,80,48,60,43,20,19,119,59,61,40,58,41,406,105,145,59,100,54,75,48,75,48,0,19,25,29,13,20,13,20,0,19,12,19,12,19,0,19,45,27
0900183500,06000US0900183500,"Westport town, Fairfield County, Connecticut",9558,227,8208,261,6643,241,5859,260,2961,202,2898,258,784,137,231,83,27,26,204,77,553,124,361,116,192,62,1565,230,1350,190,703,142,393,92,243,76,150,62,310,125,90,67,68,57,22,26,220,106,159,101,61,56,647,172
0900186370,06000US0900186370,"Wilton town, Fairfield County, Connecticut",5963,191,5211,229,4381,189,4056,200,2284,136,1772,182,325,86,112,51,49,30,63,42,213,75,119,61,94,44,830,167,752,138,466,125,352,110,194,85,158,78,114,59,32,32,24,28,8,14,82,51,82,51,0,19,286,88
0900302060,06000US0900302060,"Avon town, Hartford County, Connecticut",7207,182,6191,222,4539,217,4141,231,1844,141,2297,230,398,114,105,56,30,27,75,46,293,103,197,91,96,50,1652,221,1016,185,522,141,431,127,271,115,160,74,91,56,0,19,0,19,0,19,91,56,62,46,29,28,494,123
0900304300,06000US0900304300,"Berlin town, Hartford County, Connecticut",7822,224,6672,262,5131,209,4429,233,1985,180,2444,209,702,165,257,115,107,64,150,88,445,139,176,89,269,117,1541,240,1150,195,448,142,332,128,123,102,209,110,116,67,14,23,0,22,14,23,102,60,57,45,45,43,702,182
0900305910,06000US0900305910,"Bloomfield town, Hartford County, Connecticut",8417,319,6145,346,3946,275,2847,251,794,155,2053,234,1099,180,269,121,83,66,186,93,830,156,231,115,599,132,2199,259,2272,251,1008,230,505,170,73,53,432,167,503,142,149,105,42,53,107,82,354,114,171,84,183,76,1264,212
0900308490,06000US0900308490,"Bristol town, Hartford County, Connecticut",25194,607,16853,602,11923,455,9491,423,3574,340,5917,363,2432,291,694,177,332,125,362,120,1738,227,714,177,1024,195,4930,472,8341,457,3623,387,1570,278,701,192,869,213,2053,314,553,194,395,181,158,76,1500,267,1121,243,379,138,4718,399
0900310100,06000US0900310100,"Burlington town, Hartford County, Connecticut",3381,172,3173,165,2577,135,2286,119,1120,122,1166,127,291,118,127,95,44,40,83,82,164,85,100,54,64,69,596,150,208,78,115,58,27,41,27,41,0,17,88,50,33,29,24,27,9,14,55,52,55,52,0,17,93,64
0900312270,06000US0900312270,"Canton town, Hartford County, Connecticut",4023,159,3298,163,2511,155,2124,166,896,134,1228,161,387,118,127,70,52,52,75,43,260,112,93,75,167,84,787,158,725,154,358,140,225,95,74,53,151,82,133,106,78,84,78,84,0,19,55,64,55,64,0,19,367,130
0900322070,06000US0900322070,"East Granby town, Hartford County, Connecticut",2131,98,1574,141,1210,108,1179,118,508,88,671,107,31,30,22,26,22,26,0,17,9,16,0,17,9,16,364,109,557,132,235,119,108,67,19,29,89,62,127,98,0,17,0,17,0,17,127,98,69,77,58,54,322,110
0900322630,06000US0900322630,"East Hartford town, Hartford County, Connecticut",20157,410,11586,488,8365,382,5965,347,2216,244,3749,298,2400,255,571,168,246,123,325,107,1829,251,829,183,1000,219,3221,351,8571,432,4643,451,1517,261,774,217,743,164,3126,379,664,265,243,136,421,188,2462,340,1726,313,736,220,3928,374
0900324800,06000US0900324800,"East Windsor town, Hartford County, Connecticut",4556,261,3181,266,2125,202,1772,208,529,130,1243,174,353,118,56,59,44,59,12,18,297,127,88,75,209,110,1056,221,1375,223,849,176,418,136,240,99,178,100,431,149,86,90,53,85,33,34,345,168,213,139,132,96,526,179
0900325990,06000US0900325990,"Enfield town, Hartford County, Connecticut",16192,446,12165,354,9007,292,7336,311,2585,231,4751,260,1671,249,602,125,239,93,363,103,1069,229,483,166,586,131,3158,250,4027,276,2080,293,1000,195,526,155,474,127,1080,236,254,161,65,53,189,153,826,193,538,162,288,116,1947,285
0900327600,06000US0900327600,"Farmington town, Hartford County, Connecticut",10400,265,7744,312,5619,230,5059,231,2220,154,2839,218,560,142,231,95,51,40,180,83,329,113,161,70,168,83,2125,251,2656,245,1005,211,637,162,226,77,411,155,368,137,60,50,18,21,42,51,308,131,214,100,94,89,1651,207
0900331240,06000US0900331240,"Glastonbury town, Hartford County, Connecticut",13152,261,10677,335,8282,328,7059,316,3243,238,3816,272,1223,208,358,111,198,96,160,60,865,167,501,144,364,109,2395,261,2475,280,1191,207,615,174,367,132,248,130,576,162,135,103,40,52,95,91,441,159,299,131,142,78,1284,236
0900332640,06000US0900332640,"Granby town, Hartford County, Connecticut",4409,170,4056,165,3125,153,2684,165,1044,147,1640,169,441,142,144,108,78,101,66,44,297,115,188,91,109,59,931,191,353,138,150,98,113,94,48,44,65,86,37,30,14,20,14,20,0,19,23,22,23,22,0,19,203,92
0900337070,06000US0900337070,"Hartford town, Hartford County, Connecticut",45801,879,10786,499,7231,372,4222,344,1398,204,2824,293,3009,317,690,186,187,95,503,160,2319,291,730,189,1589,227,3555,327,35015,861,19608,592,5267,467,2616,326,2651,331,14341,533,2275,306,1207,246,1068,204,12066,534,7983,502,4083,380,15407,824
0900337140,06000US0900337140,"Hartland town, Hartford County, Connecticut",761,49,707,51,595,47,530,48,178,34,352,39,65,22,20,12,10,8,10,9,45,20,16,8,29,19,112,28,54,24,40,22,25,12,10,9,15,10,15,17,0,12,0,12,0,12,15,17,10,15,5,7,14,11
0900344700,06000US0900344700,"Manchester town, Hartford County, Connecticut",24005,460,13458,439,9253,363,7578,357,2625,233,4953,315,1675,206,527,128,138,72,389,116,1148,166,414,118,734,127,4205,341,10547,476,5614,377,2699,341,1640,296,1059,243,2915,366,580,197,293,144,287,152,2335,320,1618,292,717,203,4933,448
0900345820,06000US0900345820,"Marlborough town, Hartford County, Connecticut",2259,114,2127,140,1848,122,1643,136,685,125,958,157,205,98,100,75,63,63,37,41,105,68,35,41,70,56,279,95,132,91,118,89,59,51,44,43,15,24,59,76,0,17,0,17,0,17,59,76,59,76,0,17,14,21
0900350440,06000US0900350440,"New Britain town, Hartford County, Connecticut",27820,585,11199,548,7651,435,5363,409,1819,213,3544,321,2288,278,903,182,320,119,583,175,1385,211,472,109,913,172,3548,383,16621,558,9230,437,3569,376,1749,279,1820,221,5661,439,993,227,527,176,466,145,4668,427,3206,388,1462,247,7391,530
0900352140,06000US0900352140,"Newington town, Hartford County, Connecticut",12634,302,10388,361,7158,255,5960,293,2248,218,3712,251,1198,194,429,115,158,69,271,92,769,141,346,115,423,93,3230,307,2246,253,988,187,488,136,161,73,327,99,500,159,126,101,13,21,113,99,374,133,270,111,104,76,1258,198
0900360120,06000US0900360120,"Plainville town, Hartford County, Connecticut",7699,264,5232,328,3519,238,2683,232,757,167,1926,211,836,183,241,96,71,53,170,82,595,152,185,75,410,133,1713,285,2467,302,1068,210,315,122,184,112,131,70,753,218,134,114,118,112,16,19,619,194,492,168,127,94,1399,257
0900365370,06000US0900365370,"Rocky Hill town, Hartford County, Connecticut",8127,387,5502,362,3606,274,3032,296,1245,204,1787,221,574,172,72,53,31,36,41,39,502,176,346,146,156,74,1896,319,2625,295,1322,234,834,237,440,159,394,170,488,190,26,33,0,19,26,33,462,185,217,110,245,124,1303,232
0900368940,06000US0900368940,"Simsbury town, Hartford County, Connecticut",8731,184,7487,193,6050,170,5370,189,2504,166,2866,199,680,128,180,76,120,71,60,29,500,114,183,76,317,87,1437,174,1244,162,576,125,382,110,221,78,161,76,194,71,74,42,44,36,30,23,120,62,102,58,18,21,668,123
0900370550,06000US0900370550,"Southington town, Hartford County, Connecticut",17115,318,14223,350,10742,280,9360,318,3707,260,5653,340,1382,233,504,144,146,74,358,121,878,175,282,98,596,132,3481,284,2892,322,1446,205,626,159,238,96,388,116,820,198,224,96,146,85,78,63,596,170,378,146,218,109,1446,245
0900371390,06000US0900371390,"South Windsor town, Hartford County, Connecticut",9606,256,8486,254,6679,246,5641,272,2546,166,3095,257,1038,199,299,111,178,93,121,53,739,173,324,108,415,130,1807,246,1120,167,411,102,307,102,177,80,130,64,104,56,16,15,0,22,16,15,88,54,83,54,5,7,709,131
0900374540,06000US0900374540,"Suffield town, Hartford County, Connecticut",4822,225,4151,251,3210,214,2875,223,1249,151,1626,175,335,94,140,72,39,33,101,68,195,69,90,53,105,52,941,176,671,163,366,110,185,79,100,68,85,48,181,99,5,9,0,19,5,9,176,99,176,99,0,19,305,116
0900382590,06000US0900382590,"West Hartford town, Hartford County, Connecticut",24910,344,17984,386,13665,327,11324,384,5126,282,6198,319,2341,293,592,128,270,88,322,104,1749,248,802,151,947,185,4319,330,6926,332,2760,306,1471,199,736,167,735,160,1289,259,359,159,156,115,203,84,930,210,625,190,305,100,4166,365
0900384900,06000US0900384900,"Wethersfield town, Hartford County, Connecticut",10853,258,8569,288,6212,223,5084,243,2234,189,2850,216,1128,214,282,107,60,45,222,97,846,196,266,103,580,169,2357,265,2284,244,988,215,525,177,205,115,320,140,463,146,62,41,37,29,25,29,401,132,255,103,146,74,1296,178
0900387000,06000US0900387000,"Windsor town, Hartford County, Connecticut",10796,283,8835,335,6741,280,5237,326,1962,242,3275,270,1504,268,373,152,160,91,213,93,1131,219,377,150,754,160,2094,270,1961,248,1143,196,460,123,179,81,281,100,683,162,107,61,74,48,33,37,576,150,364,114,212,102,818,161
0900387070,06000US0900387070,"Windsor Locks town, Hartford County, Connecticut",5224,303,4108,276,2590,196,2014,198,719,144,1295,184,576,160,210,96,51,36,159,95,366,122,169,83,197,75,1518,253,1116,191,638,197,325,149,186,123,139,88,313,136,67,53,31,28,36,44,246,126,137,102,109,68,478,132
0900502760,06000US0900502760,"Barkhamsted town, Litchfield County, Connecticut",1475,105,1322,107,887,85,782,87,323,61,459,86,105,56,29,37,29,37,0,12,76,40,36,34,40,26,435,96,153,71,60,38,28,26,9,14,19,21,32,26,14,16,0,12,14,16,18,20,8,12,10,15,93,67
0900504930,06000US0900504930,"Bethlehem town, Litchfield County, Connecticut",1353,85,1162,100,892,92,743,101,255,63,488,97,149,78,54,51,23,32,31,39,95,54,36,28,59,46,270,81,191,70,76,56,36,28,21,23,15,17,40,50,0,12,0,12,0,12,40,50,0,12,40,50,115,56
0900508210,06000US0900508210,"Bridgewater town, Litchfield County, Connecticut",765,46,679,52,482,44,413,49,113,20,300,44,69,37,21,21,0,12,21,21,48,31,21,24,27,20,197,39,86,39,41,27,19,13,8,7,11,9,22,24,0,12,0,12,0,12,22,24,20,23,2,5,45,29
0900510940,06000US0900510940,"Canaan town, Litchfield County, Connecticut",575,66,403,46,263,42,233,43,79,30,154,33,30,13,19,12,13,10,6,6,11,8,0,12,11,8,140,38,172,43,48,23,32,20,8,10,24,16,16,10,11,9,11,9,0,12,5,6,3,4,2,3,124,37
0900516050,06000US0900516050,"Colebrook town, Litchfield County, Connecticut",615,52,569,55,430,54,370,55,111,31,259,49,60,31,29,20,14,15,15,9,31,24,6,9,25,23,139,38,46,31,33,29,29,26,15,20,14,17,4,5,0,12,0,12,0,12,4,5,4,5,0,12,13,10
0900517240,06000US0900517240,"Cornwall town, Litchfield County, Connecticut",621,50,507,54,357,55,335,54,128,46,207,41,22,17,5,5,5,5,0,12,17,16,0,12,17,16,150,38,114,31,63,24,25,12,17,12,8,7,38,25,16,20,3,4,13,20,22,17,14,15,8,9,51,21
0900532290,06000US0900532290,"Goshen town, Litchfield County, Connecticut",1225,101,1085,99,880,76,788,87,240,83,548,109,92,72,37,57,37,57,0,12,55,52,31,48,24,21,205,74,140,73,54,46,49,45,39,43,10,15,5,9,0,12,0,12,0,12,5,9,5,9,0,12,86,64
0900537280,06000US0900537280,"Harwinton town, Litchfield County, Connecticut",2072,99,1966,92,1675,78,1508,91,510,75,998,93,167,60,81,44,24,25,57,35,86,42,35,27,51,36,291,82,106,61,22,23,10,16,0,17,10,16,12,18,0,17,0,17,0,17,12,18,12,18,0,17,84,55
0900540290,06000US0900540290,"Kent town, Litchfield County, Connecticut",1125,118,725,122,500,84,464,79,120,45,344,86,36,29,15,17,0,12,15,17,21,23,12,17,9,14,225,80,400,108,186,72,151,77,118,71,33,30,35,30,17,23,10,16,7,11,18,20,18,20,0,12,214,88
0900543370,06000US0900543370,"Litchfield town, Litchfield County, Connecticut",3454,161,2707,167,1985,150,1658,127,617,99,1041,122,327,87,61,33,24,17,37,28,266,83,131,71,135,57,722,123,747,156,259,80,167,75,73,57,94,51,92,42,11,13,11,13,0,17,81,41,54,30,27,24,488,139
0900549460,06000US0900549460,"Morris town, Litchfield County, Connecticut",925,66,784,71,583,61,544,61,214,36,330,55,39,22,10,11,5,7,5,8,29,21,8,12,21,14,201,62,141,45,56,29,33,21,12,12,21,18,23,17,0,12,0,12,0,12,23,17,5,7,18,15,85,36
0900551350,06000US0900551350,"New Hartford town, Litchfield County, Connecticut",2702,164,2450,173,1771,128,1641,154,696,116,945,160,130,80,48,48,29,34,19,30,82,64,48,39,34,49,679,192,252,125,147,103,83,70,0,17,83,70,64,81,17,28,0,17,17,28,47,75,47,75,0,17,105,68
0900552630,06000US0900552630,"New Milford town, Litchfield County, Connecticut",10642,303,8431,332,6332,259,5323,309,2294,214,3029,277,1009,197,354,119,173,107,181,98,655,184,334,132,321,136,2099,260,2211,292,1214,270,675,183,308,117,367,171,539,204,200,146,69,79,131,127,339,139,241,128,98,72,997,198
0900553470,06000US0900553470,"Norfolk town, Litchfield County, Connecticut",635,70,461,56,330,50,271,48,77,31,194,46,59,22,3,5,3,5,0,12,56,22,36,21,20,12,131,28,174,47,65,36,55,32,26,26,29,21,10,15,0,12,0,12,0,12,10,15,10,15,0,12,109,39
0900554030,06000US0900554030,"North Canaan town, Litchfield County, Connecticut",1298,87,997,122,745,99,557,108,158,55,399,97,188,79,108,60,42,30,66,59,80,59,34,29,46,53,252,106,301,89,169,75,96,56,0,12,96,56,73,50,7,11,0,12,7,11,66,48,48,45,18,22,132,74
0900560750,06000US0900560750,"Plymouth town, Litchfield County, Connecticut",4711,164,3831,174,2829,144,2325,179,927,130,1398,178,504,149,192,109,104,81,88,61,312,98,114,64,198,82,1002,159,880,154,396,110,139,77,91,64,48,44,257,85,54,47,11,17,43,44,203,74,190,71,13,21,484,158
0900565930,06000US0900565930,"Roxbury town, Litchfield County, Connecticut",945,50,784,65,581,45,539,47,189,34,350,51,42,23,15,14,0,12,15,14,27,20,14,15,13,13,203,49,161,49,71,38,71,38,38,33,33,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,39
0900566420,06000US0900566420,"Salisbury town, Litchfield County, Connecticut",1499,134,1098,179,801,128,674,139,156,51,518,136,127,62,37,34,14,22,23,26,90,55,34,33,56,48,297,118,401,118,241,101,207,95,137,89,70,54,34,54,34,54,34,54,0,12,0,12,0,12,0,12,160,86
0900567960,06000US0900567960,"Sharon town, Litchfield County, Connecticut",1261,118,1059,130,661,93,597,110,104,39,493,114,64,47,44,42,9,13,35,40,20,20,12,17,8,13,398,152,202,84,90,47,55,35,12,18,43,33,35,32,0,12,0,12,0,12,35,32,25,27,10,16,112,75
0900575730,06000US0900575730,"Thomaston town, Litchfield County, Connecticut",3000,120,2415,130,1911,111,1537,115,643,85,894,115,374,104,65,40,19,21,46,34,309,99,124,70,185,73,504,107,585,120,204,77,89,42,0,17,89,42,115,63,0,17,0,17,0,17,115,63,62,44,53,45,381,102
0900576570,06000US0900576570,"Torrington town, Litchfield County, Connecticut",14820,383,9953,423,6988,340,5823,331,1946,201,3877,322,1165,230,329,116,133,70,196,83,836,210,331,147,505,129,2965,340,4867,421,2047,273,942,184,407,134,535,140,1105,212,262,126,98,75,164,96,843,178,548,143,295,117,2820,385
0900579510,06000US0900579510,"Warren town, Litchfield County, Connecticut",575,40,495,43,402,37,377,37,103,21,274,32,25,14,8,8,3,4,5,7,17,11,5,5,12,10,93,30,80,31,42,21,34,19,7,7,27,19,8,8,2,5,2,5,0,12,6,6,6,6,0,12,38,22
0900579720,06000US0900579720,"Washington town, Litchfield County, Connecticut",1545,135,1212,142,806,101,652,118,145,49,507,113,154,70,49,52,0,12,49,52,105,59,34,26,71,53,406,118,333,112,135,53,73,37,42,31,31,26,62,44,34,37,25,33,9,15,28,26,7,11,21,23,198,94
