GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Family households:,Margin of Error; Owner occupied: - Family households:,Estimate; Owner occupied: - Family households: - Married-couple family:,Margin of Error; Owner occupied: - Family households: - Married-couple family:,Estimate; Owner occupied: - Family households: - Married-couple family: - With own children of the householder under 18 years,Margin of Error; Owner occupied: - Family households: - Married-couple family: - With own children of the householder under 18 years,Estimate; Owner occupied: - Family households: - Married-couple family: - No own children of the householder under 18 years,Margin of Error; Owner occupied: - Family households: - Married-couple family: - No own children of the householder under 18 years,Estimate; Owner occupied: - Family households: - Other family:,Margin of Error; Owner occupied: - Family households: - Other family:,"Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present:","Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - With own children of the householder under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - With own children of the householder under 18 years","Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present:","Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children of the householder under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children of the householder under 18 years","Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - No own children of the householder under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - No own children of the householder under 18 years",Estimate; Owner occupied: - Nonfamily households,Margin of Error; Owner occupied: - Nonfamily households,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Family households:,Margin of Error; Renter occupied: - Family households:,Estimate; Renter occupied: - Family households: - Married-couple family:,Margin of Error; Renter occupied: - Family households: - Married-couple family:,Estimate; Renter occupied: - Family households: - Married-couple family: - With own children of the householder under 18 years,Margin of Error; Renter occupied: - Family households: - Married-couple family: - With own children of the householder under 18 years,Estimate; Renter occupied: - Family households: - Married-couple family: - No own children of the householder under 18 years,Margin of Error; Renter occupied: - Family households: - Married-couple family: - No own children of the householder under 18 years,Estimate; Renter occupied: - Family households: - Other family:,Margin of Error; Renter occupied: - Family households: - Other family:,"Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present:","Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - With own children of the householder under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - With own children of the householder under 18 years","Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present:","Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children of the householder under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children of the householder under 18 years","Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - No own children of the householder under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - No own children of the householder under 18 years",Estimate; Renter occupied: - Nonfamily households,Margin of Error; Renter occupied: - Nonfamily households
0400000US09,09,Connecticut,1352583,3661,906227,5290,669425,4798,557521,4977,215900,3419,341621,2581,111904,2131,33952,1150,12691,761,21261,972,77952,1875,31613,1178,46339,1512,236802,2942,446356,3646,226214,2979,104075,1936,52667,1486,51408,1530,122139,2334,24863,1191,12837,941,12026,759,97276,1927,65838,1853,31438,1235,220142,2932
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7211,209,5636,246,4333,205,3601,216,1480,168,2121,188,732,153,270,106,110,71,160,67,462,112,234,82,228,103,1303,233,1575,214,788,180,425,136,218,105,207,94,363,153,40,40,18,29,22,27,323,145,244,123,79,73,787,178
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",50367,792,20861,731,14460,601,9678,491,3698,412,5980,392,4782,418,1223,261,337,142,886,200,3559,394,1146,239,2413,307,6401,460,29506,857,17792,681,6581,558,3575,398,3006,346,11211,612,2163,329,982,219,1181,243,9048,570,5934,454,3114,359,11714,676
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",5910,246,5008,319,4150,233,3748,234,1528,130,2220,214,402,123,91,55,25,32,66,46,311,108,120,81,191,82,858,195,902,210,529,180,384,156,187,119,197,102,145,100,62,82,50,80,12,20,83,56,57,52,26,31,373,145
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",28894,639,17320,648,12239,533,9721,538,3584,345,6137,411,2518,359,925,260,292,153,633,196,1593,237,682,194,911,171,5081,427,11574,592,6533,524,3790,422,1936,295,1854,304,2743,335,936,254,426,189,510,178,1807,345,1161,257,646,193,5041,484
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6555,151,5680,188,4965,163,4581,176,2851,168,1730,148,384,103,98,59,59,41,39,40,286,87,184,73,102,47,715,117,875,149,544,127,442,111,284,87,158,71,102,62,17,26,17,26,0,22,85,58,33,25,52,51,331,100
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2682,107,2513,105,1981,112,1738,139,812,95,926,139,243,80,130,61,78,46,52,39,113,52,62,39,51,33,532,113,169,71,108,58,82,54,12,19,70,50,26,29,8,12,8,12,0,17,18,26,18,26,0,17,61,41
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",20233,369,16623,429,13000,403,11561,399,5884,282,5677,323,1439,189,454,124,219,87,235,75,985,152,256,91,729,122,3623,331,3610,344,1923,237,1334,181,708,136,626,142,589,154,104,47,77,43,27,25,485,147,351,131,134,77,1687,264
